Date,Area Name,Road/Intersection Name,Traffic Volume,Average Speed,Travel Time Index,Congestion Level,Road Capacity Utilization,Incident Reports,Environmental Impact,Parking Usage
2022-01-01,Indiranagar,100 Feet Road,50590,50.23029856408026,1.5,100.0,100.0,0,151.18,85.40362888980228
2022-01-01,Indiranagar,CMH Road,30825,29.377124707590273,1.5,100.0,100.0,1,111.65,59.98368910791799
2022-01-01,Whitefield,Marathahalli Bridge,7399,54.47439821046639,1.0390688456025536,28.34799386357647,36.39652493739601,0,64.798,95.4660201039391
2022-01-01,Koramangala,Sony World Junction,60874,43.817610389486106,1.5,100.0,100.0,1,171.748,63.567451588694794
2022-01-01,Koramangala,Sarjapur Road,57292,41.11676288840868,1.5,100.0,100.0,3,164.584,93.15517129377967
2022-01-01,M.G. Road,Trinity Circle,47848,34.241962549718146,1.5,100.0,100.0,3,145.696,55.39457134966522
2022-01-01,M.G. Road,Anil Kumble Circle,36574,29.982429564154636,1.5,100.0,100.0,3,123.148,90.37200775820313
2022-01-01,Jayanagar,Jayanagar 4th Block,25379,38.45517943888766,1.5,79.03882287608127,100.0,2,100.75800000000001,68.1814801189647
2022-01-01,Jayanagar,South End Circle,25022,35.039373044314026,1.5,78.97959595139889,100.0,1,100.044,62.10276357557502
2022-01-01,Hebbal,Hebbal Flyover,31760,56.90455625809979,1.5,97.67246206775482,100.0,1,113.52000000000001,83.87821809211411
2022-01-01,Hebbal,Ballari Road,38446,26.144876261711513,1.5,100.0,100.0,3,126.892,62.092614545022585
2022-01-01,Yeshwanthpur,Yeshwanthpur Circle,15043,47.96984673233186,1.3548345697060469,55.74084425048581,76.63531646154289,0,80.086,80.3214529829795
2022-01-02,Indiranagar,100 Feet Road,22050,52.87084603742452,1.130159879263707,78.42982810236049,100.0,3,94.1,62.19948216895418
2022-01-02,Indiranagar,CMH Road,37877,26.428424435837172,1.5,100.0,100.0,1,125.754,95.74321951102243
2022-01-02,Koramangala,Sarjapur Road,29106,43.56398794323472,1.5,90.40985493372185,100.0,3,108.212,57.0042007618262
2022-01-02,M.G. Road,Trinity Circle,53217,37.57207490980107,1.5,100.0,100.0,5,156.434,54.69909699204345
2022-01-02,M.G. Road,Anil Kumble Circle,37584,45.889505969673664,1.5,100.0,100.0,2,125.168,76.5677315784074
